"Urban Area Name","Country","Urban landa c 2000 (sq. km.)","Urban landa c 2010 (sq. km.)","Increase in urban land 2000 - 2010 (sq. km.)","Average annual rate of increase in urban land 2000 - 2010 (%)","Urban populationc c 2000 (persons)","Urban populationc c 2010 (persons)","Change in urban population 2000 - 2010 (persons)","Average annual rate of change of urban population (%)","Average urban population density c2000 (persons/ sq. km.)","Average urban population density c2010 (persons/ sq. km.)","Urban expansion per additional urban inhabitant (sq. m./ person)","Administrative boundary arrangementd","lon","lat"
"Sorong urban area","Indonesia",26.5625,26.5625,0,4.89165745867278e-14,112873,150478,37605,2.91727869720029,4249.33647058823,5665.05411764706,0,"Contained",131.255828,-0.8761629
"Gao'an urban area","China",29,35.75,6.75,2.11459161606511,120600,150406,29806,2.23316010322596,4158.62068965517,4207.16083916084,226.464470240891,"Contained",115.375616,28.417255
"Zhangjiajie urban area","China",12.0625,28.1875,16.125,8.85839411444593,65649,150179,84530,8.6270809670713,5442.40414507772,5327.85809312639,190.760676682834,"Contained",110.479191,29.117096
"Kaili urban area","China",16.6875,19.375,2.6875,1.50444086675122,119330,149598,30268,2.28633427110417,7150.86142322097,7721.18709677419,88.7901414034624,"Contained",107.981212,26.566867
"Shifang urban area","China",19.375,25.875,6.5,2.93518863491632,130982,149381,18399,1.32307803294122,6760.36129032258,5773.17874396135,353.280069568998,"Contained",104.167501,31.12678
"Ningde urban area","China",23.75,36.25,12.5,4.3192460707924,112677,149195,36518,2.84706424469746,4744.29473684211,4115.72413793103,342.296949449587,"Contained",119.547933,26.665617
"Tulufan urban area","China",74.5,86,11.5,1.44583422541791,130465,149116,18651,1.34516233422292,1751.20805369128,1733.90697674419,616.58892284596,"Contained",89.189655,42.951384
"Pathein urban area","Myanmar",17.0625,17.3125,0.25,0.14556295018924,118947,148630,29683,2.25282102503014,6971.25274725275,8585.12635379061,8.42232927938551,"Contained",94.7381013,16.7753609
"Guixi urban area","China",29.5,33.25,3.75,1.20383347905061,130545,148320,17775,1.28472363545466,4425.25423728814,4460.75187969925,210.970464135021,"Contained",117.245497,28.292519
"Da Lat urban area","Vietnam",14.5,15.5625,1.0625,0.709661494910275,103286,147933,44647,3.65788910454245,7123.1724137931,9505.73493975904,23.7977915649428,"Contained",108.4583132,11.9404192
"Yicheng urban area","China",54,55,1,0.183659835140637,148424,147850,-574,-0.0387404582066831,2748.59259259259,2688.18181818182,-1742.16027874564,"Contained",112.257788,31.719806
"Lingwu urban area","China",4.6875,25.6875,21,18.5435846711289,52620,147621,95001,10.8663449523598,11225.6,5746.80291970803,221.050304733634,"Contained",106.340054,38.102655
"Cam Ranh urban area","Vietnam",7.1875,7.3125,0.125,0.172566789753863,105853,147210,41357,3.35307779022923,14727.3739130435,20131.2820512821,3.0224629446043,"Contained",109.1701666,11.893334
"Funan urban area","China",18.6875,22.625,3.9375,1.93040228336531,134855,147070,12215,0.87085544167126,7216.32107023411,6500.33149171271,322.349570200573,"Contained",115.595644,32.658297
"Chibi urban area","China",15.0625,23.625,8.5625,4.60380338478534,105519,145860,40341,3.29054150713423,7005.41078838174,6173.96825396825,212.253042810044,"Contained",113.900628,29.724692
"Vinh Long urban area","Vietnam",11.0625,11.0625,0,5.41914287508838e-14,104702,144902,40200,3.3027636279423,9464.58757062147,13098.4858757062,0,"Spillover",106.0169971,10.0861281
"Gujiao urban area","China",43.75,44.875,1.125,0.254214919593701,143041,144671,1630,0.113373183345317,3269.50857142857,3223.86629526462,690.184049079755,"Contained",112.175875,37.907109
"Linxiang urban area","China",10.3125,22.1875,11.875,7.96287494784659,70530,144571,74041,7.44117027371283,6839.27272727273,6515.87605633803,160.384111505787,"Contained",113.450423,29.476849
"Ningguo urban area","China",6.625,22.8125,16.1875,13.1615011340145,56060,144447,88387,9.92729549694574,8461.88679245283,6331.92328767123,183.143448697207,"Contained",118.982915,30.633571
"Shishou urban area","China",16.25,26.1875,9.9375,4.88758052033595,102837,144078,41241,3.42959574602532,6328.43076923077,5501.78520286396,240.961664363134,"Contained",112.425454,29.720938
"Jin'e urban area","China",10.625,16.375,5.75,4.42037222421194,110676,143486,32810,2.63030213010798,10416.5647058824,8762.50381679389,175.251447729351,"Contained",111.916683,23.996249
"Xucheng urban area","China",34.5,45.75,11.25,2.86252960641009,119948,143464,23516,1.80637935262509,3476.75362318841,3135.82513661202,478.397686681408,"Contained",113.852454,34.035771
"Huangmei urban area","China",14.5,21.6875,7.1875,4.10801092764496,119335,143107,23772,1.83317955022186,8230,6598.59365994236,302.351505973414,"Contained",115.944219,30.070454
"Laohekou urban area","China",37.1875,38.5,1.3125,0.347457819945163,149707,142883,-6824,-0.465452765262603,4025.73445378151,3711.24675324675,-192.335873388042,"Contained",111.683861,32.359068
"Wenchang urban area","China",32.5625,42.125,9.5625,2.60823502371148,103613,142486,38873,3.23709957557312,3181.97312859885,3382.45697329377,245.993363002598,"Contained",110.79776,19.543279
"Iligan urban area","Philippines",11.0625,13.125,2.0625,1.72427489876115,101006,141727,40721,3.4452472943977,9130.48587570621,10798.2476190476,50.6495420053535,"Contained",124.2452422,8.2280209
"Kure urban area","Japan",31.875,32.6875,0.8125,0.252024432456098,129020,140457,11437,0.852956732212587,4047.6862745098,4296.96367112811,71.0413569992131,"Spillover",132.5654407,34.2486458
"Tagum urban area","Philippines",14.5625,21.1875,6.625,3.82080159425259,91253,138986,47733,4.29713783672032,6266.30042918455,6559.81120943953,138.792868665284,"Contained",125.8094242,7.448212
"Pakokku urban area","Myanmar",35.3125,36.375,1.0625,0.296887004983505,108808,138609,29801,2.45025890801178,3081.28849557522,3810.55670103093,35.6531660011409,"Contained",95.0702794,21.3394161
"Dunhua urban area","China",106.6875,111.5,4.8125,0.442180649720175,132371,138101,5730,0.424666315063769,1240.73579379028,1238.57399103139,839.877835951134,"Contained",128.232013,43.372413
"Longnan urban area","China",13.3125,18.625,5.3125,3.41503090211129,98430,137973,39543,3.43479599670129,7393.80281690141,7407.94630872483,134.347419265104,"Contained",104.921841,33.400685
"Lechang urban area","China",25.875,35.6875,9.8125,3.26747940503259,119963,137269,17306,1.3567123623737,4636.25120772947,3846.41681260946,566.999884433145,"Contained",113.347519,25.130136
"Marawi urban area","Philippines",4.8125,6,1.1875,2.22992702646609,98228,136994,38766,3.38240345114649,20411.012987013,22832.3333333333,30.6325130268792,"Spillover",124.297718,8.0106213
"Xingyi urban area","China",15.1875,22.5625,7.375,4.03754436317281,87681,136504,48823,4.52591749767087,5773.23456790123,6050.03878116343,151.055854822522,"Contained",104.895467,25.09204
"Ningan urban area","China",94.125,97.375,3.25,0.340034992484404,133247,136380,3133,0.232675854824146,1415.63877822045,1400.5648267009,1037.34439834025,"Contained",129.482851,44.34072
"Sasebo urban area","Japan",30.125,33.375,3.25,1.02978339589378,120556,136087,15531,1.21917216395394,4001.85892116183,4077.51310861423,209.258901551735,"Spillover",129.7151101,33.1799153
"Niihama urban area","Japan",69.9375,77.125,7.1875,0.983055516502393,115144,136070,20926,1.68387948438032,1646.38427167113,1764.27876823339,343.472235496512,"Spillover",133.2833512,33.9602895
"Bitung urban area","Indonesia",15.25,17.5625,2.3125,1.42187831835636,98958,135749,36791,3.21161482300777,6489.04918032787,7729.48042704626,62.85504607105,"Contained",125.1216524,1.4403744
"Bole urban area","China",52.875,63.5625,10.6875,1.85797995090569,115876,135676,19800,1.58999843028544,2191.50827423168,2134.52900688299,539.772727272727,"Contained",82.051005,44.85387
"Iwaki urban area","Japan",48.625,51,2.375,0.478017182088091,124978,135339,10361,0.799630303311374,2570.24164524422,2653.70588235294,229.224978283949,"Contained",140.8876817,37.0504195
"Padangsidempuan urban area","Indonesia",4.9375,5.5625,0.625,1.19901642793702,98166,135131,36965,3.24746314298597,19881.7215189873,24293.2134831461,16.9078858379548,"Contained",99.2730146,1.3721801
"Kushiro urban area","Japan",50.125,51,0.875,0.173207301835971,114090,134946,20856,1.69304311531741,2276.10972568579,2646,41.9543536632144,"Spillover",144.3813556,42.9848542
"Douhuti urban area","China",26,26.875,0.875,0.331547892465544,148793,134810,-13983,-0.982043138098829,5722.80769230769,5016.18604651163,-62.5759851247944,"Contained",107.984442,34.459803
"Tokuyama urban area","Japan",54.75,55.5,0.75,0.136149119432605,121485,134190,12705,0.99962225274885,2218.90410958904,2417.83783783784,59.0318772136954,"Spillover",131.8140153,34.065682
"Kanggye urban area","North Korea",13.4375,14.5,1.0625,0.763896349419611,119840,133200,13360,1.06254775047643,8918.32558139535,9186.20689655172,79.5284431137725,"Contained",126.5990916,40.9676726
"Tarlac urban area","Philippines",29.25,43.8125,14.5625,4.12313041209117,72581,133092,60511,6.25096922389064,2481.40170940171,3037.76319543509,240.658723207351,"Spillover",120.469642,15.4470354
"Huoqiu urban area","China",23.125,30.0625,6.9375,2.65836313049089,108341,132657,24316,2.04547067835379,4685.01621621622,4412.70686070686,285.305971376871,"Contained",116.277912,32.353038
"Da'an urban area","China",66.375,67.125,0.75,0.112423880989627,130571,132499,1928,0.146687061478838,1967.1713747646,1973.91433891993,389.004149377593,"Contained",124.292626,45.506996
"Yidu urban area","China",16.125,21.3125,5.1875,2.82849211024977,102971,132272,29301,2.53574682793697,6385.7984496124,6206.31085043988,177.041739189789,"Contained",111.450006,30.378327
"Rach Gia urban area","Vietnam",6.5625,6.6875,0.125,0.188862964905883,93885,131324,37439,3.41291714398937,14306.2857142857,19637.2336448598,3.33876439007452,"Contained",105.0910974,10.021507
"Gorontalo urban area","Indonesia",29.125,32.1875,3.0625,1.00482749123073,94986,131031,36045,3.26935050763726,3261.32188841202,4070.86601941748,84.963240393952,"Contained",122.4467238,0.6999372
"Surat Thani urban area","Thailand",20.4375,35.875,15.4375,5.78800180780359,61670,130860,69190,7.81353767941619,3017.49235474006,3647.66550522648,223.117502529267,"Spillover",99.3266976,9.1338851
"Yichun urban area","China",20.6875,23.5,2.8125,1.28286670954458,129325,130769,1444,0.111099589779344,6251.35951661631,5564.63829787234,1947.71468144044,"Spillover",114.416786,27.815743
"Ruichang urban area","China",15.0625,20.6875,5.625,3.22409765277116,93959,130693,36734,3.35497686803333,6237.94190871369,6317.48640483384,153.127892415746,"Contained",115.681337,29.675874
"Thai Binh urban area","Vietnam",9.5625,14.5,4.9375,4.2508621861531,76276,130485,54209,5.51574459553366,7976.57516339869,8998.96551724138,91.082661550665,"Contained",106.3934777,20.5386936
"Zhijiang urban area","China",21,23.25,2.25,1.02302442033758,119519,130231,10712,0.862038759445238,5691.38095238095,5601.33333333333,210.044809559373,"Contained",111.76053,30.42594
"Soc Trang urban area","Vietnam",11.9375,13.125,1.1875,0.952852028841244,90045,130199,40154,3.75637846235503,7543.03664921466,9919.92380952381,29.5736414803008,"Spillover",105.9599539,9.6003688
"Caohe urban area","China",19.5625,23.625,4.0625,1.90482469929005,141280,128463,-12817,-0.946520146863251,7221.98083067093,5437.5873015873,-316.961847546228,"Contained",114.739473,33.746044
"Myingyan urban area","Myanmar",28.4375,30.0625,1.625,0.557245379707203,98685,128102,29417,2.64326933297506,3470.24175824176,4261.18918918919,55.2401672502295,"Contained",95.38872,21.4662223
"Dehong urban area","China",24.5625,38.6875,14.125,4.64772945216959,73092,127050,53958,5.68430174824102,2975.75572519084,3284.00646203554,261.777678935468,"Contained",98.584895,24.433353
"Hirosaki urban area","Japan",38.1875,41,2.8125,0.713169323603462,106435,126424,19989,1.73596438852621,2787.16857610475,3083.51219512195,140.702386312472,"Spillover",140.4639223,40.6031243
"Rayong urban area","Thailand",35.625,46.9375,11.3125,2.79606921502789,86985,125715,38730,3.75147345754224,2441.68421052632,2678.34886817577,292.086238058353,"Contained",101.1473517,12.707434
"Kuitun urban area","China",35.5,39.6875,4.1875,1.12127549595361,203124,125357,-77767,-4.71188517043096,5721.80281690141,3158.60157480315,-53.8467473349878,"Contained",84.903267,44.426529
"Watampone urban area","Indonesia",12.75,14.25,1.5,1.11846491910127,83928,125073,41145,4.07002749316232,6582.58823529412,8777.05263157895,36.4564345607,"Contained",120.324997,-4.538772
"Yanling urban area","China",15.6875,18.625,2.9375,1.7312203528841,126410,124606,-1804,-0.143635078140873,8058.00796812749,6690.25503355705,-1628.32594235033,"Contained",113.772655,26.489902
"Toungoo urban area","Myanmar",23.1875,23.5,0.3125,0.133960454789802,97339,123756,26417,2.43018057846014,4197.90835579515,5266.21276595745,11.8295037286596,"Contained",96.4343621,18.9398354
"Qingzhen urban area","China",12.6875,18.4375,5.75,3.80842402177304,92261,122965,30704,2.91444484506422,7271.80295566502,6669.28813559322,187.272016675352,"Contained",106.470715,26.556079
"Salatiga urban area","Indonesia",7,9.4375,2.4375,3.03289256492502,69913,122170,52257,5.74033051525771,9987.57142857143,12945.1655629139,46.6444686836213,"Contained",110.5001357,-7.3306417
"Kunsan urban area","South Korea",32.875,36.25,3.375,0.982059774451774,105805,121816,16011,1.41911449026644,3218.40304182509,3360.44137931034,210.79258010118,"Contained",126.7366293,35.9676772
"Matsue urban area","Japan",31.5,32.375,0.875,0.274365436817951,109551,121695,12144,1.05682253665938,3477.80952380952,3758.91891891892,72.0520421607378,"Spillover",133.048375,35.4680595
"Zhangshu urban area","China",17.375,23.375,6,3.01078117570561,85601,121612,36011,3.57376398266227,4926.67625899281,5202.65240641711,166.615756296687,"Contained",115.546152,28.055853
"Ubon Ratchathani urban area","Thailand",27.3125,28.8125,1.5,0.536080274544865,97555,121546,23991,2.22311568149789,3571.80778032037,4218.51626898048,62.5234462923596,"Contained",104.8472995,15.2448453
"Lufeng urban area","China",25.75,31.375,5.625,1.99541517667451,103889,121498,17609,1.57806986038273,4034.52427184466,3872.44621513944,319.438923277869,"Contained",115.65226,22.917576
"Hailin urban area","China",63.1875,70.5625,7.375,1.11003916978932,121353,121268,-85,-0.00700656791049953,1920.52225519288,1718.58990256864,-86764.7058823529,"Contained",129.380482,44.594213
"Shangzhou urban area","China",8.1875,10.5,2.3125,2.51886717188221,93750,121179,27429,2.59958610176104,11450.3816793893,11540.8571428571,84.3085785117941,"Contained",109.941241,33.862703
"My Tho urban area","Vietnam",5.6875,5.6875,0,4.93655571984549e-14,88172,121128,32956,3.22654350989513,15502.7692307692,21297.2307692308,0,"Contained",106.3438891,10.3765284
"Ca Mau urban area","Vietnam",10.8125,11.75,0.9375,0.834970276821359,83737,120665,36928,3.7209275649309,7744.46242774567,10269.3617021277,25.387240034662,"Contained",105.1960795,9.1526728
"Muling urban area","China",57.375,65.6875,8.3125,1.36219426511717,116805,120567,3762,0.317500341109595,2035.81699346405,1835.46336822074,2209.59595959596,"Contained",130.524437,44.918813
"Renhuai urban area","China",9.5625,13.5,3.9375,3.50855172115679,85608,120392,34784,3.46854162621311,8952.47058823529,8917.92592592593,113.198597056118,"Contained",106.400342,27.79165
"Xuanwei urban area","China",22.5,25.75,3.25,1.35833586137622,101662,120317,18655,1.69903558824626,4518.31111111111,4672.50485436893,174.216027874564,"Contained",104.104475,26.219767
"Mengyin urban area","China",21.3125,23.5,2.1875,0.981855541508449,119935,119932,-3,-0.000250138305585758,5627.44868035191,5103.48936170213,-729166.666666667,"Contained",117.953621,35.719397
"Bei'an urban area","China",98.0625,98.375,0.3125,0.0318218245119131,121370,119932,-1438,-0.119117155319315,1237.68005098789,1219.13087674714,-217.315716272601,"Contained",126.481867,48.239136
"Yingcheng urban area","China",16.3125,16.625,0.3125,0.189939170944463,127422,119640,-7782,-0.628190371141888,7811.31034482759,7196.39097744361,-40.1567720380365,"Contained",113.572707,30.92837
"Omuta urban area","Japan",43.4375,45.1875,1.75,0.395754815293444,105528,119389,13861,1.24175401820339,2429.42158273381,2642.08022130014,126.253517062261,"Spillover",130.4459852,33.0302622
"Dangyang urban area","China",29.8125,32.75,2.9375,0.944181467485442,116562,118991,2429,0.206458229259092,3909.83647798742,3633.31297709924,1209.34540963359,"Contained",111.788312,30.821266
"Shimonoseki urban area","Japan",41.9375,42.8125,0.875,0.206710364816992,109675,117875,8200,0.723638640399452,2615.20119225037,2753.28467153285,106.707317073171,"Contained",130.941459,33.9578307
"Ejin Horo urban area","China",8.125,34.5625,26.4375,15.5787991537455,30539,117863,87324,14.4596116123949,3758.64615384615,3410.14104882459,302.751820805277,"Contained",109.74774,39.56466
"Zixing urban area","China",20.5,28.8125,8.3125,3.46243805059461,95898,117554,21656,2.05699722861194,4677.9512195122,4079.96529284165,383.84281492427,"Contained",113.236146,25.976243
"Pyin-Oo-Lwin urban area","Myanmar",14.625,27.0625,12.4375,6.34748013144407,61410,117456,56046,6.69980136566119,4198.97435897436,4340.17551963048,221.915926203476,"Contained",96.471658,22.0391773
"Tomakomai urban area","Japan",61.8125,66.5625,4.75,0.743104887152167,99541,117440,17899,1.66732674738549,1610.37007077856,1764.35680751174,265.377954075647,"Contained",141.6053721,42.6343021
"Hongning urban area","China",34.1875,36.3125,2.125,0.604841367295295,115862,117257,1395,0.119754441479155,3389.01645338208,3229.10843373494,1523.29749103943,"Contained",-122.3239123,47.5986419
"Zhangjiang urban area","China",15.9375,21.25,5.3125,2.91860089651004,94366,117096,22730,2.18158884240898,5921.00392156863,5510.4,233.721953365596,"Contained",110.359336,21.270746
"Tieli urban area","China",57.375,64.1875,6.8125,1.12831620000502,109500,117073,7573,0.670972225907384,1908.49673202614,1823.92210321324,899.577446190413,"Contained",128.032422,46.98664
"Songzi urban area","China",18,18.6875,0.6875,0.375534302228529,125399,115747,-9652,-0.797739821379321,6966.61111111111,6193.81939799331,-71.2287608785744,"Contained",111.779894,30.176768
"Mishan urban area","China",102.875,108.0625,5.1875,0.493163110388731,118766,114753,-4013,-0.343141701508674,1154.46901579587,1061.91324465009,-1292.67381011712,"Contained",131.846636,45.529775
"Longjiang urban area","China",77.375,79,1.625,0.20805735419155,110779,114651,3872,0.344145884798945,1431.71567043619,1451.27848101266,419.679752066116,"Contained",113.073906,22.868396
"Taonan urban area","China",67.3125,69.5,2.1875,0.320319907837613,114067,114604,537,0.0469781576025353,1694.5886722377,1648.97841726619,4073.55679702048,"Contained",122.786735,45.335961
"Batangas urban area","Philippines",21.5625,26.5625,5,2.10734493073883,76078,114349,38271,4.1591263184819,3528.25507246377,4304.90352941176,130.647226359384,"Spillover",121.1312012,13.9450336
"Kabankalan urban area","Philippines",15,25.5625,10.5625,5.47540621114075,68368,114300,45932,5.27356628322459,4557.86666666667,4471.39364303178,229.959505355743,"Spillover",122.8535755,9.9134117
"Fengzhen urban area","China",27.4375,29.625,2.1875,0.77002867489064,112538,113985,1447,0.12784083082904,4101.61275626424,3847.59493670886,1511.74844505874,"Contained",113.109892,40.436983
"Jishou urban area","China",12.8125,19.3125,6.5,4.18866224440653,78372,113393,35021,3.76300285872386,6116.83902439024,5871.48220064725,185.60292395991,"Contained",109.698055,28.262507
"Sibolga urban area","Indonesia",6.6875,10.125,3.4375,4.23489270375093,59715,113185,53470,6.6032742223594,8929.34579439252,11178.7654320988,64.2883860108472,"Spillover",98.7851121,1.7368371
"Jianyang urban area","China",17.5,20.5625,3.0625,1.62575537002628,132238,113115,-19123,-1.54984759956535,7556.45714285714,5501.03343465046,-160.147466401715,"Contained",118.120464,27.331876
"Cabanatuan urban area","Philippines",25.25,27.5625,2.3125,0.880150722902675,87254,112614,25360,2.58425384350963,3455.60396039604,4085.76870748299,91.1869085173502,"Spillover",120.973393,15.4865047
"Guangan urban area","China",13.125,17.125,4,2.69590508564059,110098,112606,2508,0.225495078544114,8388.41904761905,6575.53284671533,1594.89633173844,"Contained",106.633088,30.456224
"Xinshi urban area","China",38.1875,40.5,2.3125,0.589669115765814,112890,112050,-840,-0.0746590465196336,2956.20294599018,2766.66666666667,-2752.97619047619,"Contained",113.256439,23.199183
"Wonsan urban area","North Korea",10.8125,10.9375,0.125,0.11500987995463,101922,111725,9803,0.922556357236496,9426.31213872832,10214.8571428571,12.7511986126696,"Contained",127.4460001,39.1538529
"Pingyin urban area","China",21,22.0625,1.0625,0.494789027790378,111013,111337,324,0.0291475103239228,5286.33333333333,5046.43626062323,3279.32098765432,"Contained",116.456187,36.289265
"Yuanzhou urban area","China",24.0625,38.5,14.4375,4.81223894689587,78204,110690,32486,3.53517980132412,3250.03636363636,2875.06493506494,444.422212645447,"Contained",106.287782,36.00374
"Beipiao urban area","China",43.1875,45.6875,2.5,0.564322695106962,121246,110026,-11220,-0.966348929659525,2807.43270622287,2408.22982216142,-222.816399286988,"Contained",120.77073,41.800684
"Lampang urban area","Thailand",28.5625,30.125,1.5625,0.534028105318303,89595,109525,19930,2.02883994443527,3136.80525164114,3635.6846473029,78.3993978926242,"Spillover",99.5127895,18.2855395
"Nanchuan urban area","China",9.4375,27.25,17.8125,11.1862170400248,52927,109195,56268,7.51091237668301,5608.15894039735,4007.15596330275,316.565365749627,"Contained",107.099266,29.157891
"Ishinomaki urban area","Japan",37.25,38.4375,1.1875,0.314308925327804,95281,107087,11806,1.17496074499653,2557.87919463087,2786.00325203252,100.584448585465,"Spillover",141.3029167,38.4344802
"Butuan urban area","Philippines",10.0625,12.125,2.0625,1.88202898986647,71756,106491,34735,4.02685489557523,7131.03105590062,8782.76288659794,59.3781488412264,"Contained",125.5406234,8.9475377
"Obihiro urban area","Japan",57.5625,60.5,2.9375,0.498961196273114,88930,105222,16292,1.69645774735751,1544.92942453855,1739.20661157025,180.30321630248,"Spillover",143.1961031,42.9238989
"Lijiang urban area","China",40.5,62.8125,22.3125,4.486241077079,57722,104994,47272,6.16523150228172,1425.23456790123,1671.54626865672,472.002453883906,"Contained",100.227751,26.855047
"Wugang urban area","China",29.5,31.8125,2.3125,0.757545274495626,98156,104979,6823,0.674285943796827,3327.32203389831,3299.92927308448,338.92715814158,"Contained",110.631884,26.726599
"Gaosha urban area","China",8.1875,12.125,3.9375,4.00471863206912,68822,103927,35105,4.20777189076324,8405.74045801527,8571.29896907216,112.163509471585,"Contained",113.429218,22.813044
"Bontang urban area","Indonesia",31.5,35.3125,3.8125,1.14904602666715,72767,102673,29906,3.50281894174698,2310.06349206349,2907.55398230088,127.482779375376,"Contained",117.4800445,0.120863
"Ya'an urban area","China",11.25,13.75,2.5,2.02697667655689,82845,102463,19618,2.14804908667702,7364,7451.85454545455,127.433989193598,"Contained",103.013261,29.980537
"Anlu urban area","China",18.4375,19.625,1.1875,0.626128335200731,103012,101835,-1177,-0.114850295267863,5587.09152542373,5189.04458598726,-1008.9209855565,"Contained",113.688941,31.25561
"Haeju urban area","North Korea",12.0625,12.25,0.1875,0.154363721584066,92038,101766,9728,1.00980976137359,7630.09326424871,8307.42857142857,19.2742598684211,"Contained",125.7079231,38.0375021
"Atushi urban area","China",9.9375,10.75,0.8125,0.788999067606493,80301,101671,21370,2.38765918473651,8080.60377358491,9457.76744186047,38.0205896116051,"Contained",76.1684,39.71616
"Tanjungpinang urban area","Indonesia",23.375,29.875,6.5,2.48389655924333,68493,100838,32345,3.94361179623354,2930.18181818182,3375.33054393305,200.958417066007,"Contained",104.4665072,0.9185504
"Yonago urban area","Japan",29.125,30.25,1.125,0.379711811481699,87472,100272,12800,1.37504548550093,3003.330472103,3314.77685950413,87.890625,"Spillover",133.3309447,35.4280717
